Time_Index,MA_Diesel,MA_Biodiesel,MA_Methanol,MA_Hydrogen,MA_Ammonia,MA_Primary_Al_Air,MA_Electricity,None
202,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
203,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
204,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
205,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
206,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
207,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
208,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
209,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
210,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
211,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
212,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
213,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
214,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
215,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
216,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
217,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
218,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
219,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
220,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
221,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
222,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
223,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
224,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
225,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
226,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
227,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
228,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
229,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
230,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
231,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
232,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
233,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
234,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
235,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
236,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
237,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
238,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
239,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
240,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
241,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
242,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
243,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
244,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
245,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
246,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
247,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
248,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
249,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
250,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
251,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
252,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
253,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
254,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
255,25.97157,29.16218,53.71187,43.96493,51.32169,11310.8,60.14663,0
